id:ID(Point),lat,lon
"36.135599 -93.677689",36.135599,-93.677689
"36.135599 -93.776818",36.135599,-93.776818
"36.135631 -93.472307",36.135631,-93.472307
"36.135631 -93.599127",36.135631,-93.599127
"36.135647 -93.576698",36.135647,-93.576698
"36.135647 -93.670447",36.135647,-93.670447
"36.135658 -93.550869",36.135658,-93.550869
"36.135658 -93.67056",36.135658, -93.67056
"36.13568 -93.668451",36.13568 ,-93.668451
"36.135701 -93.640417",36.135701,-93.640417
"36.135712 -93.64643",36.135712, -93.64643
"36.135722 -93.738618",36.135722,-93.738618
"36.135722 -93.740308",36.135722,-93.740308
"36.135739 -93.470869",36.135739,-93.470869
"36.135739 -93.679057",36.135739,-93.679057
"36.135749 -93.640497",36.135749,-93.640497
"36.135771 -93.511489",36.135771,-93.511489
"36.135782 -93.577117",36.135782,-93.577117
"36.135798 -93.577187",36.135798,-93.577187
"36.135798 -93.733618",36.135798,-93.733618
"36.135808 -93.550509",36.135808,-93.550509
"36.135819 -93.704688",36.135819,-93.704688
"36.13583 -93.776051",36.13583 ,-93.776051
"36.135841 -93.65261",36.135841, -93.65261
"36.13591 -93.550198",36.13591 ,-93.550198
"36.13598 -93.440877",36.13598 ,-93.440877
"36.13598 -93.549431",36.13598 ,-93.549431
"36.13598 -93.64091",36.13598 , -93.64091
"36.136001 -93.549919",36.136001,-93.549919
"36.136001 -93.778899",36.136001,-93.778899
"36.136012 -93.496881",36.136012,-93.496881
"36.136012 -93.733677",36.136012,-93.733677
"36.136028 -93.598977",36.136028,-93.598977
"36.13605 -93.549098",36.13605 ,-93.549098
"36.13605 -93.54979",36.13605 , -93.54979
"36.136071 -93.704919",36.136071,-93.704919
"36.136119 -93.704999",36.136119,-93.704999
"36.13613 -93.548938",36.13613 ,-93.548938
"36.136141 -93.652186",36.136141,-93.652186
"36.136152 -93.641307",36.136152,-93.641307
"36.136178 -93.66872",36.136178, -93.66872
"36.136211 -93.77883",36.136211, -93.77883
"36.136232 -93.774978",36.136232,-93.774978
