:START_ID(Point),:END_ID(Point),distance:double
"35.988587 -93.755881","35.988748 -93.756101",0.02667
"35.988861 -93.678161","35.989011 -93.678569",0.04029
"35.988898 -93.566919","35.989011 -93.567337",0.03963
"35.989118 -93.776641","35.989569 -93.7767",0.0504
"35.989762 -93.681482","35.989767 -93.680698",0.07049
"35.989767 -93.58637","35.990282 -93.58453",0.17506
"35.990481 -93.633191","35.991001 -93.633207",0.0578
"35.990551 -93.755237","35.991302 -93.753257",0.19662
"35.99083 -93.580942","35.990862 -93.58077",0.01587
"35.991221 -93.776979","35.991291 -93.776807",0.01731
"35.991302 -93.753257","35.991811 -93.751777",0.14459
"35.991409 -93.575819","35.991468 -93.575878",0.00843
"35.991548 -93.740919","35.991902 -93.743108",0.20071
"35.99194 -93.763418","35.992058 -93.763487",0.01451
"35.992079 -93.776051","35.992128 -93.775477",0.0519
"35.992213 -93.701444","35.992332 -93.70192",0.04479
"35.992439 -93.745999","35.9926 -93.745999",0.01789
"35.992798 -93.497959","35.993008 -93.497552",0.0434
"35.993061 -93.537801","35.993512 -93.537908",0.05103
"35.993077 -93.702489","35.993372 -93.702478",0.0328
"35.993442 -93.495728","35.993641 -93.495438",0.03419
"35.993662 -93.57717","35.994311 -93.577042",0.07303
"35.99437 -93.793539","35.994531 -93.79355",0.01792
"35.995851 -93.601611","35.996162 -93.601128",0.0555
"35.996392 -93.494049","35.997181 -93.494848",0.11335
"35.996441 -93.585888","35.996618 -93.586188",0.03338
"35.996661 -93.53941","35.997009 -93.539469",0.03903
"35.997321 -93.63891","35.997412 -93.639307",0.0371
"35.997412 -93.740581","35.997492 -93.73923",0.12179
"35.997471 -93.698798","35.997712 -93.699377",0.05854
"35.997508 -93.65687","35.997599 -93.65747",0.05488
"35.997921 -93.481829","35.998039 -93.481668",0.01953
"35.99819 -93.738049","35.998501 -93.737937",0.036
"35.998388 -93.772537","35.999042 -93.772189",0.07912
"35.998978 -93.643008","35.999611 -93.643008",0.07034
"35.99901 -93.76632","35.999579 -93.767167",0.09898
"35.999042 -93.629779","35.99923 -93.629211",0.05517
"35.999069 -93.696641","35.999091 -93.696411",0.02082
"35.999332 -93.600549","35.999557 -93.60042",0.02756
"35.99967 -93.643062","35.999702 -93.643158",0.00933
"36.000008 -93.484168","36.000491 -93.484468",0.06007
"36.000051 -93.543568","36.000738 -93.5439",0.08197
"36.000121 -93.628621","36.002288 -93.629141",0.2453
"36.000292 -93.736242","36.00077 -93.735657",0.07475
"36.000899 -93.551201","36.00129 -93.550917",0.0504
"36.00106 -93.791618","36.001092 -93.792461",0.07587
"36.001108 -93.686481","36.001151 -93.685988",0.04458
"36.001231 -93.7901","36.001381 -93.789821",0.03012
"36.001317 -93.473401","36.002009 -93.4742",0.10523
"36.001462 -93.519208","36.00188 -93.519578",0.05713
"36.002068 -93.519728","36.00232 -93.519771",0.02827
"36.002068 -93.565878","36.002551 -93.56598",0.05445
"36.002851 -93.683837","36.004659 -93.68374",0.2011
"36.00328 -93.476888","36.00335 -93.476099",0.07136
"36.003409 -93.519889","36.004487 -93.519787",0.12014
"36.003441 -93.694539","36.003801 -93.694421",0.04139
"36.003538 -93.7402","36.003651 -93.74004",0.01909
"36.003731 -93.64524","36.00401 -93.645299",0.03145
"36.003892 -93.78458","36.004487 -93.784672",0.06663
"36.003999 -93.629318","36.006762 -93.630879",0.33759
"36.004031 -93.739739","36.004112 -93.73961",0.01468
"36.004337 -93.53654","36.00482 -93.536937",0.06446
"36.004412 -93.667631","36.005828 -93.668757",0.1871
"36.004487 -93.497681","36.004707 -93.497198",0.04983
"36.004611 -93.735968","36.005086 -93.735303",0.07975
"36.005077 -93.718577","36.005142 -93.718491",0.01058
"36.005651 -93.538069","36.005968 -93.538209",0.03741
"36.005839 -93.596118","36.005898 -93.594557",0.14048
"36.005887 -93.52093","36.006558 -93.52027",0.09529
"36.006188 -93.775257","36.006939 -93.7753",0.08354
"36.006547 -93.719462","36.00688 -93.719639",0.04028
"36.006789 -93.74638","36.00777 -93.74682",0.11597
"36.007652 -93.576747","36.007792 -93.576849",0.01806
"36.007862 -93.775788","36.008291 -93.776389",0.07205
"36.00791 -93.679658","36.00836 -93.67918",0.06593
"36.008339 -93.710809","36.0085 -93.71083",0.01799
"36.008827 -93.562198","36.008838 -93.562429",0.0208
"36.009101 -93.56083","36.00916 -93.560611",0.02075
"36.009112 -93.710267","36.009299 -93.710449",0.02645
"36.009922 -93.439037","36.01012 -93.439219",0.02742
"36.009932 -93.44394","36.010109 -93.44387",0.02065
"36.009948 -93.55906","36.010088 -93.558937",0.01909
"36.01004 -93.601938","36.010388 -93.602008",0.03918
"36.010238 -93.558819","36.010399 -93.558712",0.02031
"36.010399 -93.558712","36.010571 -93.55861",0.0212
"36.010512 -93.725818","36.010689 -93.725829",0.01969
"36.010538 -93.484227","36.011161 -93.48435",0.07011
"36.010968 -93.72584","36.01123 -93.725937",0.03039
"36.011 -93.536197","36.011391 -93.536278",0.04406
"36.011289 -93.575009","36.011762 -93.57636",0.13233
"36.011998 -93.536079","36.01211 -93.536079",0.01245
"36.012217 -93.484409","36.012781 -93.484371",0.06277
"36.012759 -93.44424","36.012861 -93.444138",0.01458
"36.013049 -93.568282","36.014031 -93.56863",0.11352
"36.013532 -93.557022","36.013671 -93.556931",0.01748
"36.013762 -93.750881","36.013768 -93.75109",0.0188
"36.014009 -93.752088","36.015028 -93.754711",0.26155
"36.01432 -93.536911","36.015109 -93.536841",0.0879
"36.014471 -93.650701","36.014604 -93.651707",0.09162
"36.014578 -93.64973","36.014658 -93.649681",0.00992
"36.014771 -93.483642","36.015458 -93.48347",0.07789
"36.014809 -93.664208","36.014932 -93.664471",0.02731
"36.01483 -93.653919","36.014889 -93.654289",0.0339
"36.015281 -93.448988","36.015318 -93.449041",0.00629
"36.015758 -93.666279","36.015801 -93.665817",0.0418
"36.015822 -93.53234","36.016021 -93.532549",0.02902
"36.016171 -93.646881","36.016187 -93.64701",0.01173
"36.017582 -93.4399","36.017652 -93.440008",0.01244
"36.01777 -93.759448","36.018252 -93.760092",0.07886
"36.018038 -93.540859","36.018102 -93.540827",0.00767
"36.018188 -93.761621","36.019089 -93.761567",0.10024
"36.018451 -93.451901","36.01888 -93.454958",0.27887
"36.019079 -93.655282","36.01976 -93.654928",0.08209
"36.019309 -93.60498","36.019331 -93.604438",0.04878
"36.019427 -93.782359","36.019771 -93.78273",0.05073
"36.01962 -93.5347","36.019797 -93.534641",0.02037
"36.019899 -93.540258","36.021101 -93.540097",0.13435
"36.020441 -93.459867","36.0205 -93.460162",0.02731
"36.020731 -93.782928","36.020731 -93.782778",0.01348
"36.02109 -93.464759","36.021149 -93.465129",0.0339
"36.02123 -93.730657","36.021267 -93.730437",0.0202
"35.9271 -93.627199","35.927288 -93.627349",0.02487
"35.927202 -93.75668","35.92732 -93.756857",0.02063
"35.927401 -93.60558","35.92768 -93.605768",0.03532
"35.927551 -93.643968","35.927798 -93.644247",0.0372
"35.928039 -93.756648","35.928602 -93.756079",0.08084
"35.928098 -93.68337","35.92857 -93.683161",0.05572
"35.92872 -93.683102","35.92893 -93.683048",0.02384
"35.929149 -93.715047","35.929251 -93.714918",0.01622
"35.92953 -93.645181","35.929901 -93.645497",0.05008
"35.929632 -93.497622","35.930008 -93.49716",0.05894
"35.929648 -93.524798","35.929992 -93.524449",0.04947
"35.930131 -93.765317","35.930308 -93.765987",0.06342
"35.930812 -93.629989","35.93085 -93.630241",0.02307
"35.931107 -93.636217","35.931338 -93.636367",0.029
"35.93114 -93.435282","35.931242 -93.435367",0.01367
"35.932459 -93.607581","35.933918 -93.607699",0.16248
"35.932931 -93.638008","35.934181 -93.639569",0.19754
"35.932942 -93.49127","35.933082 -93.491308",0.01593
"35.9332 -93.491211","35.933398 -93.490787",0.04404
"35.933511 -93.435668","35.934112 -93.43607",0.07595
"35.933559 -93.490551","35.934149 -93.489747",0.09763
"35.935109 -93.674567","35.93519 -93.67402",0.05003
"35.935801 -93.476287","35.935828 -93.476378",0.00872
"35.935952 -93.729118","35.936032 -93.728957",0.017
"35.936172 -93.47603","35.936611 -93.475971",0.04907
"35.936192 -93.712533","35.936317 -93.71251",0.01404
"35.936649 -93.483518","35.93674 -93.484559",0.09421
"35.93813 -93.519208","35.938741 -93.52063",0.14484
"35.93873 -93.614088","35.940211 -93.616508",0.27293
"35.939728 -93.676648","35.940082 -93.677249",0.06687
"35.940189 -93.746359","35.94034 -93.746289",0.01792
"35.94034 -93.746289","35.940511 -93.746268",0.0191
"35.94057 -93.684888","35.940812 -93.685017",0.02929
"35.940962 -93.74682","35.940978 -93.747619",0.07191
"35.941032 -93.747711","35.941118 -93.747748",0.01012
"35.941118 -93.747748","35.941219 -93.747738",0.01126
"35.94152 -93.795647","35.94211 -93.79583",0.0676
"35.941879 -93.647788","35.942147 -93.646827",0.09144
"35.94211 -93.79583","35.94278 -93.795679",0.07568
"35.942158 -93.646377","35.942169 -93.646548",0.01543
