:START_ID(Point),:END_ID(Point),distance:double
"35.980197 -93.76845","35.980782 -93.767827",0.08582
"35.980787 -93.53816","35.980959 -93.538209",0.01961
"35.981088 -93.478047","35.981372 -93.478251",0.0365
"35.981678 -93.709677","35.98201 -93.70972",0.0371
"35.983132 -93.635771","35.983598 -93.635777",0.05179
"35.984199 -93.789768","35.985261 -93.789521",0.12009
"35.984408 -93.483368","35.98524 -93.484548",0.14074
"35.984811 -93.752351","35.984832 -93.752088",0.02376
"35.98569 -93.591601","35.985841 -93.591027",0.05427
"35.986028 -93.590651","35.986559 -93.588618",0.19209
"35.986157 -93.76021","35.986318 -93.760247",0.0182
"35.986602 -93.760607","35.986747 -93.76044",0.02203
"35.986661 -93.47883","35.987117 -93.478192",0.07654
"35.987032 -93.499172","35.987112 -93.49937",0.0199
"35.987268 -93.544228","35.987729 -93.543691",0.0704
"35.925952 -93.793029","35.927422 -93.79275",0.16527
"35.926102 -93.679829","35.927052 -93.680827",0.1386
"35.926478 -93.640658","35.926939 -93.63972",0.09874
"35.926907 -93.778041","35.927225 -93.777477",0.06184
"35.927428 -93.499247","35.928581 -93.498287",0.15453
"35.927551 -93.75668","35.927841 -93.756728",0.03251
"35.927889 -93.718249","35.928056 -93.717713",0.05168
"35.928538 -93.637118","35.929418 -93.636447",0.11493
"35.92997 -93.684137","35.930399 -93.68403",0.04864
"35.93173 -93.494038","35.932041 -93.492391",0.15217
"35.932481 -93.49179","35.933082 -93.491308",0.07963
"35.933082 -93.491308","35.9332 -93.491211",0.01575
"35.934289 -93.712821","35.936192 -93.712533",0.21305
"35.934509 -93.485991","35.934621 -93.485927",0.01371
"35.935319 -93.682549","35.935539 -93.68256",0.02447
"35.935619 -93.678767","35.935742 -93.679191",0.04052
"35.936317 -93.71251","35.936971 -93.712391",0.07346
"35.936349 -93.668752","35.936391 -93.669041",0.02642
"35.93689 -93.515142","35.937411 -93.516547",0.13904
"35.937432 -93.48914","35.938441 -93.489639",0.12078
"35.937598 -93.481062","35.937641 -93.480681",0.03461
"35.937872 -93.678488","35.937969 -93.677818",0.06124
"35.939492 -93.740029","35.939728 -93.74042",0.04388
"35.939497 -93.712558","35.94108 -93.711882",0.18613
"35.93975 -93.60138","35.941262 -93.601911",0.17468
"35.940812 -93.685017","35.94115 -93.685221",0.0418
"35.940919 -93.60793","35.941852 -93.605999",0.20232
"35.941091 -93.644049","35.941751 -93.645122",0.12124
"35.941219 -93.747738","35.941461 -93.74756",0.0313
"35.941241 -93.68528","35.942217 -93.686031",0.12778
"35.941262 -93.601911","35.941681 -93.601841",0.04699
"35.941568 -93.49436","35.941788 -93.494489",0.02706
"35.941568 -93.526337","35.941649 -93.526761",0.03919
"35.941659 -93.52365","35.941842 -93.524309",0.06268
"35.941777 -93.779259","35.942131 -93.779549",0.0472
"35.942008 -93.645658","35.942158 -93.646377",0.0668
"35.943531 -93.602281","35.943821 -93.603038",0.07534
"35.944411 -93.49914","35.944792 -93.498008",0.11029
"35.944572 -93.497289","35.944658 -93.497477",0.01943
"35.944675 -93.623401","35.945082 -93.623648",0.05039
"35.945017 -93.492761","35.945801 -93.493078",0.09167
"35.945232 -93.488497","35.946632 -93.487767",0.16887
"35.946922 -93.62604","35.947238 -93.626191",0.03765
"35.947544 -93.755467","35.948322 -93.754899",0.10043
"35.947968 -93.487359","35.948161 -93.487209",0.02534
"35.94896 -93.596327","35.949062 -93.596289",0.01184
"35.950709 -93.43813","35.951251 -93.438597",0.07343
"35.95153 -93.526718","35.95234 -93.526627",0.09038
"35.954352 -93.435791","35.954561 -93.43555",0.03177
"35.954588 -93.52711","35.954802 -93.527179",0.02458
"35.954689 -93.534459","35.954942 -93.533987",0.05092
"35.95514 -93.531332","35.955178 -93.531509",0.01647
"35.955381 -93.52896","35.955489 -93.528521",0.04127
"35.95551 -93.703009","35.955521 -93.70288",0.01167
"35.955521 -93.70288","35.955698 -93.702279",0.05753
"35.955821 -93.69544","35.95602 -93.69552",0.02326
"35.955972 -93.781539","35.95624 -93.781608",0.03042
"35.956057 -93.745259","35.956122 -93.74498",0.02612
"35.956057 -93.745447","35.956057 -93.745259",0.01691
"35.956851 -93.677839","35.957801 -93.678231",0.1113
"35.957318 -93.782531","35.958048 -93.783277",0.10528
"35.957388 -93.695917","35.957559 -93.696218",0.03308
"35.95775 -93.734492","35.957951 -93.73489",0.0422
"35.958852 -93.649837","35.95998 -93.650629",0.14418
"35.958949 -93.453961","35.959061 -93.453199",0.06966
"35.959378 -93.465247","35.959512 -93.465317",0.01617
"35.959469 -93.459781","35.95955 -93.45999",0.02084
"35.959662 -93.465371","35.959818 -93.465381",0.01736
"35.959711 -93.772269","35.960059 -93.77213",0.04064
"35.959818 -93.465381","35.960397 -93.465092",0.06939
"35.960258 -93.679701","35.960547 -93.67976",0.03255
"35.960301 -93.736461","35.960542 -93.736558",0.02817
"35.960832 -93.69463","35.960848 -93.694941",0.02803
"35.961079 -93.451321","35.961089 -93.445479",0.52547
"35.961207 -93.697081","35.961272 -93.697108",0.00762
"35.961272 -93.697108","35.962259 -93.697618",0.11889
"35.96161 -93.781732","35.961695 -93.781515",0.02168
"35.96183 -93.517861","35.961948 -93.517979",0.01687
"35.962189 -93.79231","35.962629 -93.79215",0.05097
"35.9622 -93.669299","35.962387 -93.669068",0.02939
"35.962259 -93.697618","35.962559 -93.697757",0.0356
"35.96426 -93.741568","35.964447 -93.741638",0.02171
"35.96448 -93.778567","35.96581 -93.777097",0.1983
"35.964581 -93.471202","35.965021 -93.469807",0.13466
"35.965 -93.468772","35.965118 -93.467511",0.11417
"35.965209 -93.599181","35.965847 -93.598478",0.095
"35.965569 -93.552108","35.965992 -93.552027",0.04757
"35.967151 -93.774238","35.967258 -93.773149",0.09866
"35.967389 -93.597536","35.968486 -93.59755",0.12191
"35.967682 -93.714929","35.967822 -93.715041",0.01853
"35.967811 -93.71553","35.968058 -93.715551",0.02751
"35.968578 -93.717032","35.968728 -93.717069",0.017
"35.969812 -93.452298","35.970627 -93.451927",0.09652
"35.96993 -93.551201","35.971421 -93.55015",0.19075
"35.970032 -93.710997","35.970187 -93.710578",0.04143
"35.971078 -93.476427","35.971109 -93.47649",0.00663
"35.971598 -93.68506","35.971732 -93.686229",0.10618
"35.971598 -93.71708","35.971652 -93.717901",0.07408
"35.9717 -93.673408","35.973942 -93.670538",0.35874
"35.971818 -93.444541","35.972108 -93.445377",0.0818
"35.971931 -93.719698","35.972489 -93.718281",0.14172
"35.973948 -93.481137","35.974409 -93.481298",0.05324
"35.974189 -93.607249","35.97449 -93.60624",0.09671
"35.974699 -93.65547","35.97472 -93.655271",0.01805
"35.974999 -93.657369","35.975021 -93.65709",0.02521
"35.975101 -93.702247","35.975342 -93.702301",0.02722
"35.97545 -93.796548","35.975509 -93.796522",0.00696
"35.975487 -93.481469","35.975568 -93.481437",0.00945
"35.97552 -93.597872","35.976008 -93.597947",0.05465
"35.976271 -93.518961","35.976512 -93.519508",0.05601
"35.97715 -93.697189","35.977338 -93.697489",0.03412
"35.977408 -93.69787","35.977612 -93.697999",0.02547
"35.978352 -93.771137","35.9786 -93.770831",0.03895
"35.978422 -93.523017","35.97877 -93.524191",0.11243
"35.978448 -93.653989","35.978652 -93.65401",0.02275
"35.979312 -93.544689","35.981758 -93.54427",0.27441
"35.979398 -93.438801","35.97979 -93.439589",0.08318
"35.92644 -93.53845","35.927512 -93.538672",0.12079
"35.927052 -93.680827","35.927529 -93.681632",0.08976
"35.927202 -93.724038","35.927358 -93.72363",0.0406
"35.92724 -93.43489","35.927335 -93.43487",0.01071
"35.927712 -93.517518","35.928318 -93.517207",0.07293
"35.928211 -93.637477","35.928538 -93.637118",0.04862
"35.928838 -93.517191","35.929831 -93.516831",0.115
"35.928892 -93.757388","35.929487 -93.75822",0.09988
"35.929359 -93.462399","35.929418 -93.461428",0.08762
"35.92938 -93.605757","35.93012 -93.605768",0.08224
"35.929622 -93.63626","35.929782 -93.63604",0.02661
"35.929648 -93.524851","35.929648 -93.524798",0.00477
"35.929691 -93.684722","35.929707 -93.68448",0.02185
"35.929901 -93.645497","35.930421 -93.646109",0.07982
"35.930802 -93.725191","35.930968 -93.725218",0.01861
"35.931059 -93.647637","35.931982 -93.649059",0.16399
"35.931081 -93.687951","35.931199 -93.687817",0.01781
"35.931242 -93.435367","35.93136 -93.4354",0.01344
"35.931419 -93.515061","35.931692 -93.514691",0.04504
"35.93247 -93.512921","35.933049 -93.512459",0.0766
"35.932577 -93.68521","35.932588 -93.684459",0.06759
"35.932819 -93.650041","35.933049 -93.650261",0.03233
"35.933811 -93.650792","35.933951 -93.650931",0.01996
"35.93402 -93.607458","35.934348 -93.607351",0.0377
"35.934149 -93.489747","35.934439 -93.489452",0.04175
"35.934342 -93.639602","35.934959 -93.638899",0.09328
"35.934498 -93.682731","35.934702 -93.682651",0.02378
"35.934959 -93.751391","35.936472 -93.749159",0.26191
"35.93667 -93.484827","35.936708 -93.484742",0.00874
"35.937598 -93.682608","35.937722 -93.682941",0.03298
"35.937749 -93.611449","35.93836 -93.6105",0.10909
"35.938752 -93.489741","35.939159 -93.490031",0.05221
"35.939041 -93.684228","35.940281 -93.684738",0.14523
"35.940211 -93.616508","35.940291 -93.61669",0.01863
"35.940399 -93.522228","35.941311 -93.523129",0.12978
"35.940951 -93.77905","35.941262 -93.779071",0.03461
"35.942228 -93.650137","35.942518 -93.650438",0.04209
"35.942389 -93.621969","35.942502 -93.622119",0.01843
"35.942598 -93.465998","35.942807 -93.465757",0.03177
"35.94277 -93.527308","35.942872 -93.527389",0.01348
"35.943011 -93.604786","35.943521 -93.604491",0.06258
"35.943682 -93.795899","35.944578 -93.795518",0.1053
"35.943821 -93.603038","35.943859 -93.603267",0.02103
"35.94388 -93.603848","35.943891 -93.603461",0.03484
"35.944057 -93.496291","35.944309 -93.496967",0.06695
"35.944093 -93.50469","35.944111 -93.50466",0.00336
"35.944309 -93.496967","35.944572 -93.497289",0.04115
"35.94491 -93.47044","35.945012 -93.470799",0.03423
"35.945221 -93.5241","35.945629 -93.524819",0.07899
"35.946027 -93.729821","35.946101 -93.729842",0.00844
"35.947769 -93.731001","35.948461 -93.732808",0.17983
"35.948161 -93.487209","35.948322 -93.487011",0.02525
"35.948531 -93.505641","35.948719 -93.506602",0.08894
"35.94873 -93.747807","35.948998 -93.747759",0.03009
"35.94874 -93.753949","35.949357 -93.753697",0.07221
"35.948998 -93.747759","35.94925 -93.747678",0.02894
"35.949577 -93.481271","35.94998 -93.483459",0.20186
"35.949711 -93.47913","35.949727 -93.47942",0.02615
"35.950039 -93.596611","35.951852 -93.596472",0.20186
"35.95079 -93.479431","35.951181 -93.479157",0.04995
"35.951417 -93.512229","35.951428 -93.511719",0.04589
"35.951417 -93.512229","35.952082 -93.513479",0.13456
"35.95234 -93.526627","35.952442 -93.526541",0.01372
"35.952501 -93.735571","35.953681 -93.735491",0.13132
"35.952828 -93.536009","35.95315 -93.535811",0.03997
"35.95315 -93.535811","35.953348 -93.535602",0.02894
"35.953601 -93.672947","35.953611 -93.673242",0.02656
"35.954582 -93.479458","35.954829 -93.479409",0.0278
"35.95514 -93.526268","35.955371 -93.525871",0.04398
"35.955569 -93.52734","35.955601 -93.52712",0.02011
"35.955601 -93.530688","35.95566 -93.530559",0.01333
"35.955762 -93.74711","35.956079 -93.746697",0.0512
"35.956149 -93.704801","35.956251 -93.70457",0.02367
"35.956969 -93.733951","35.95749 -93.734058",0.05869
"35.956991 -93.515839","35.957002 -93.515737",0.00926
"35.957012 -93.782027","35.957318 -93.782531",0.05667
"35.958332 -93.514729","35.95882 -93.514868",0.05565
"35.958348 -93.69596","35.95874 -93.696019",0.04388
"35.959319 -93.460779","35.959458 -93.460162",0.05761
"35.959351 -93.51224","35.959448 -93.511719",0.04809
"35.959888 -93.514321","35.960032 -93.514257",0.01701
"35.96 -93.457227","35.960091 -93.45726",0.01054
"35.960118 -93.442717","35.96066 -93.44446",0.16795
"35.960381 -93.785358","35.960719 -93.785557",0.04161
"35.960998 -93.519101","35.961872 -93.518097",0.13262
"35.962151 -93.686111","35.962162 -93.687769",0.14913
"35.962972 -93.697897","35.96345 -93.697961",0.05343
"35.964421 -93.599647","35.964571 -93.59954",0.01925
"35.965772 -93.715519","35.966067 -93.715969",0.05208
"35.966008 -93.659327","35.966641 -93.661129",0.17668
"35.966652 -93.516671","35.967618 -93.516601",0.10753
"35.966899 -93.775981","35.966942 -93.775847",0.01296
"35.966979 -93.778309","35.967199 -93.778401",0.02581
"35.968101 -93.716747","35.968578 -93.717032",0.05888
"35.969302 -93.551657","35.969662 -93.551507",0.04222
"35.970278 -93.441499","35.970402 -93.441998",0.04695
"35.971109 -93.47649","35.9714 -93.477081",0.06222
"35.971148 -93.443838","35.971818 -93.444541",0.09768
"35.971748 -93.686411","35.971968 -93.688107",0.15448
"35.973427 -93.597598","35.973529 -93.59777",0.01918
"35.97383 -93.779988","35.974318 -93.779962",0.05428
"35.974098 -93.600828","35.97415 -93.602399",0.1414
"35.974409 -93.481298","35.975487 -93.481469",0.12078
"35.974591 -93.786882","35.974618 -93.785138",0.15687
"35.976271 -93.521311","35.976839 -93.521327",0.06314
"35.977 -93.780251","35.97788 -93.779677",0.11058
"35.977101 -93.796745","35.97744 -93.796758",0.03769
"35.978137 -93.653597","35.978341 -93.653898",0.03531
"35.978888 -93.478149","35.978947 -93.477961",0.01813
"35.979028 -93.530221","35.979108 -93.531262",0.09403
"35.979398 -93.633078","35.980515 -93.633948",0.14672
"35.979602 -93.441687","35.980128 -93.442507",0.0941
"35.979903 -93.624645","35.98046 -93.626019",0.13819
"35.98038 -93.477698","35.981088 -93.478047",0.0847
"35.980508 -93.788968","35.982171 -93.78936",0.18813
"35.981436 -93.538148","35.982069 -93.538021",0.07126
"35.981619 -93.478481","35.981913 -93.478836",0.04568
"35.92585 -93.581709","35.925979 -93.581768",0.01529
"35.926102 -93.730437","35.926398 -93.73077",0.0445
"35.92636 -93.641157","35.926398 -93.640969",0.01744
"35.926821 -93.725089","35.926902 -93.725368",0.02667
"35.927218 -93.4672","35.927851 -93.466899",0.07538
"35.927358 -93.72363","35.927379 -93.723431",0.01806
"35.927631 -93.730759","35.92805 -93.730587",0.04907
"35.92805 -93.730587","35.928162 -93.730598",0.01249
"35.928152 -93.717407","35.929149 -93.715047",0.23952
"35.928179 -93.53881","35.929809 -93.539249",0.18539
"35.928431 -93.725808","35.928677 -93.72599",0.03187
"35.928972 -93.688777","35.929579 -93.689078",0.07269
"35.928989 -93.52262","35.929498 -93.522899",0.06188
"35.929976 -93.539229","35.931778 -93.539008",0.20123
"35.930061 -93.76492","35.930131 -93.765317",0.03656
"35.93012 -93.605768","35.930351 -93.605822",0.02613
"35.930421 -93.646109","35.930711 -93.64664",0.05763
"35.930711 -93.434681","35.93114 -93.435282",0.07209
"35.931267 -93.725367","35.93174 -93.725668",0.05913
"35.932062 -93.607388","35.932459 -93.607581",0.04741
"35.932239 -93.726049","35.932502 -93.726291",0.03645
"35.932368 -93.486421","35.932749 -93.48641",0.04235
"35.932508 -93.637543","35.932931 -93.638008",0.06293
"35.933028 -93.72694","35.93357 -93.727192",0.06436
"35.933972 -93.53793","35.934321 -93.538037",0.03996
"35.934568 -93.751541","35.934959 -93.751391",0.0455
"35.934959 -93.638899","35.935179 -93.638958",0.02502
"35.935211 -93.65827","35.935227 -93.658618",0.03136
"35.935742 -93.679191","35.936198 -93.680527",0.13045
"35.936198 -93.680527","35.93711 -93.681777",0.15139
"35.937749 -93.611449","35.938648 -93.613867",0.23939
"35.93784 -93.727278","35.938038 -93.727358",0.02315
"35.938698 -93.727857","35.938811 -93.726521",0.12086
"35.940678 -93.746327","35.940828 -93.746439",0.01948
"35.940908 -93.74659","35.940962 -93.74682",0.02155
"35.941262 -93.779071","35.941777 -93.779259",0.05968
"35.9413 -93.53028","35.941311 -93.530741",0.04149
"35.941418 -93.530028","35.942142 -93.529931",0.08093
"35.94211 -93.668789","35.942389 -93.667877",0.08771
"35.942341 -93.49399","35.942952 -93.493287",0.09279
"35.942518 -93.650438","35.942791 -93.650717",0.03938
"35.94307 -93.712381","35.943612 -93.712402",0.06026
"35.943521 -93.604491","35.943751 -93.604202",0.03646
"35.943531 -93.466111","35.943832 -93.466197",0.03433
"35.94358 -93.508458","35.94366 -93.507782",0.06146
"35.946123 -93.468402","35.946267 -93.467307",0.0998
"35.947448 -93.755537","35.947544 -93.755467",0.01239
"35.947678 -93.52652","35.948032 -93.526487",0.03945
"35.947962 -93.653061","35.948081 -93.652149",0.0831
"35.947968 -93.653259","35.948022 -93.653442",0.01752
"35.948719 -93.506602","35.949518 -93.507229",0.10519
"35.94932 -93.657588","35.949357 -93.658307",0.06481
"35.949357 -93.753697","35.950022 -93.753649",0.07402
"35.949561 -93.48111","35.949609 -93.480718",0.03567
"35.949609 -93.480718","35.949749 -93.480348",0.03674
"35.950607 -93.746681","35.9508 -93.746182",0.04975
"35.950988 -93.73512","35.951787 -93.735871",0.11157
"35.951299 -93.628438","35.951449 -93.62898",0.05153
"35.951449 -93.705128","35.951508 -93.705219",0.01049
"35.952329 -93.479007","35.952689 -93.479828",0.08399
"35.954421 -93.751739","35.954437 -93.751487",0.02274
"35.954459 -93.74821","35.955162 -93.748757",0.09233
"35.955837 -93.647611","35.955988 -93.647841",0.02664
"35.955988 -93.647841","35.95617 -93.64804",0.02701
"35.956969 -93.697258","35.95734 -93.697017",0.04658
"35.95764 -93.734219","35.95775 -93.734492",0.02743
"35.95801 -93.766341","35.95816 -93.766787",0.04344
"35.958241 -93.479329","35.958391 -93.479281",0.01722
"35.959448 -93.459459","35.959458 -93.458982",0.04292
"35.960011 -93.441537","35.960038 -93.44233",0.07139
"35.96007 -93.679588","35.960258 -93.679701",0.02323
"35.96029 -93.455811","35.960499 -93.455817",0.02323
"35.960547 -93.67976","35.961352 -93.679668",0.08984
"35.961148 -93.785621","35.962039 -93.789419",0.35567
"35.9622 -93.792418","35.962269 -93.794231",0.16325
"35.962796 -93.481331","35.963487 -93.481442",0.07743
"35.9628 -93.60086","35.962999 -93.600881",0.02219
"35.963857 -93.51718","35.96493 -93.516751",0.12532
"35.964029 -93.6554","35.964978 -93.657229",0.19541
"35.964227 -93.47625","35.964442 -93.47596",0.03537
"35.964469 -93.551201","35.964571 -93.55184",0.05858
"35.964571 -93.78149","35.964608 -93.781667",0.01644
"35.96463 -93.475928","35.965091 -93.47596",0.05131
"35.966781 -93.597657","35.96692 -93.597571",0.01727
"35.968202 -93.740131","35.968369 -93.7399",0.02786
"35.969758 -93.597067","35.971253 -93.596796",0.16791
"35.97118 -93.65931","35.972349 -93.659031",0.13231
"35.971253 -93.596796","35.971502 -93.596751",0.02796
"35.971389 -93.701067","35.971582 -93.701158",0.02296
"35.971491 -93.67446","35.972247 -93.680559",0.5549
"35.971502 -93.719349","35.971738 -93.719778",0.04665
"35.97177 -93.701239","35.972451 -93.701491",0.079
"35.971968 -93.688107","35.972172 -93.689099",0.09205
"35.972215 -93.707084","35.972612 -93.707059",0.04417
"35.97244 -93.478181","35.972559 -93.47846",0.02836
"35.972612 -93.707059","35.972751 -93.706898",0.02117
"35.972902 -93.69007","35.973052 -93.69014",0.01782
"35.972961 -93.59682","35.973111 -93.596917",0.01881
"35.973529 -93.59777","35.97368 -93.597888",0.01985
"35.97398 -93.668897","35.974082 -93.669127",0.02359
"35.97406 -93.695901","35.975702 -93.696271",0.18548
"35.974382 -93.599347","35.97442 -93.59903",0.02882
"35.974999 -93.796688","35.975182 -93.796548",0.02392
"35.975251 -93.788588","35.97531 -93.788641",0.00811
"35.97752 -93.59851","35.978631 -93.598537",0.12348
"35.977697 -93.520088","35.978052 -93.520469",0.05225
"35.977917 -93.699828","35.978202 -93.699801",0.03176
"35.978052 -93.520469","35.978229 -93.52079",0.03493
"35.978271 -93.704597","35.97832 -93.70472",0.01233
"35.978727 -93.544667","35.978921 -93.544539",0.02444
"35.97876 -93.788378","35.979929 -93.788609",0.13156
"35.979049 -93.477859","35.979752 -93.477247",0.09556
"35.97913 -93.524959","35.979151 -93.525479",0.04682
"35.97921 -93.654348","35.979688 -93.655368",0.10599
"35.979269 -93.630198","35.98031 -93.62758",0.26231
"35.97958 -93.62353","35.979661 -93.622452",0.09736
"35.979752 -93.709098","35.979881 -93.709141",0.01485
"35.925748 -93.679341","35.926102 -93.679829",0.05896
"35.92636 -93.64135","35.926392 -93.641549",0.01826
"35.926381 -93.517797","35.927712 -93.517518",0.15002
"35.926628 -93.756471","35.92709 -93.756557",0.05192
"35.926762 -93.64318","35.9271 -93.64311",0.03808
"35.927202 -93.724038","35.927309 -93.724231",0.02105
"35.927449 -93.627628","35.928457 -93.628529",0.13828
"35.928318 -93.517207","35.928672 -93.51725",0.03953
"35.928382 -93.73085","35.928549 -93.730899",0.01907
"35.928457 -93.628529","35.930662 -93.629699",0.26669
"35.928549 -93.730899","35.93026 -93.730877",0.19015
"35.9293 -93.683069","35.929487 -93.683118",0.02124
"35.929809 -93.539249","35.929976 -93.539229",0.01864
"35.930158 -93.758971","35.930421 -93.759351",0.04498
"35.930732 -93.495197","35.930941 -93.494907",0.03493
"35.931059 -93.515641","35.931419 -93.515061",0.06576
"35.93174 -93.725668","35.932239 -93.726049",0.06519
"35.933049 -93.512459","35.933312 -93.512368",0.03035
"35.934058 -93.485729","35.934273 -93.485777",0.02428
"35.934058 -93.651098","35.934739 -93.65238",0.13796
"35.934702 -93.682651","35.9349 -93.682597",0.02253
"35.935941 -93.727149","35.936011 -93.72841",0.11372
"35.936939 -93.476239","35.937228 -93.477231",0.09486
"35.937228 -93.477231","35.937609 -93.478159",0.09362
"35.937641 -93.480681","35.937641 -93.48052",0.01449
"35.937749 -93.68337","35.937759 -93.683692",0.02899
"35.938618 -93.677689","35.938682 -93.677641",0.00832
"35.939632 -93.490498","35.94027 -93.491967",0.14998
"35.941649 -93.526761","35.942169 -93.52734",0.0778
"35.941922 -93.523617","35.942378 -93.523639",0.05071
"35.941938 -93.60175","35.942051 -93.60167",0.01447
"35.943569 -93.747099","35.944561 -93.747308",0.11183
"35.944574 -93.49279","35.945017 -93.492761",0.0493
"35.944599 -93.71031","35.945811 -93.707601",0.27845
"35.94527 -93.507519","35.945371 -93.507058",0.04297
"35.946289 -93.625321","35.946922 -93.62604",0.09556
"35.946439 -93.779178","35.947587 -93.779128",0.12765
"35.947238 -93.626191","35.949792 -93.6267",0.28748
"35.947587 -93.779128","35.948832 -93.779028",0.13864
"35.947812 -93.487429","35.947968 -93.487359",0.01844
"35.947962 -93.653061","35.947968 -93.653259",0.01782
"35.949389 -93.480729","35.949422 -93.48038",0.03161
"35.949969 -93.483937","35.94998 -93.483459",0.04302
"35.950511 -93.70376","35.95065 -93.703717",0.01592
"35.951197 -93.751251","35.951401 -93.75108",0.0274
"35.951889 -93.749712","35.952479 -93.749797",0.06601
"35.952538 -93.633422","35.95264 -93.63376",0.03245
"35.95322 -93.635181","35.953901 -93.636656",0.15275
"35.953552 -93.479951","35.954582 -93.479458",0.12275
"35.955371 -93.529288","35.955381 -93.52896",0.02953
"35.955419 -93.434761","35.955628 -93.434488",0.0338
"35.955462 -93.646398","35.955569 -93.647037",0.0587
"35.955768 -93.698717","35.955859 -93.698299",0.03894
"35.955982 -93.51593","35.956792 -93.515989",0.09017
"35.956111 -93.704098","35.956251 -93.704431",0.03375
"35.956739 -93.524411","35.956948 -93.524068",0.03862
"35.957372 -93.514831","35.958332 -93.514729",0.10707
"35.95749 -93.734058","35.95764 -93.734219",0.02208
"35.95816 -93.766787","35.958402 -93.76809",0.12025
"35.959061 -93.453199","35.959099 -93.453049",0.01414
"35.959088 -93.520871","35.959222 -93.520721",0.02009
"35.960011 -93.441537","35.960022 -93.441419",0.01068
"35.963058 -93.741611","35.96345 -93.741649",0.04369
"35.963948 -93.782837","35.964077 -93.782638",0.02293
"35.964131 -93.779329","35.964158 -93.780589",0.11337
"35.964421 -93.719821","35.964581 -93.719569",0.02881
"35.96456 -93.78185","35.964608 -93.781667",0.0173
"35.964919 -93.741391","35.965161 -93.741311",0.02784
"35.965118 -93.792557","35.965622 -93.79223",0.06326
"35.965161 -93.741311","35.966727 -93.74093",0.17736
"35.966727 -93.74093","35.967328 -93.740678",0.07053
"35.96692 -93.597571","35.967389 -93.597536",0.05221
"35.968486 -93.59755","35.968819 -93.597539",0.03702
"35.970702 -93.44255","35.970928 -93.443398",0.08029
"35.97133 -93.736501","35.971649 -93.736288",0.04029
"35.971367 -93.707429","35.971469 -93.707311",0.01553
"35.972015 -93.477664","35.97222 -93.47787",0.02936
"35.97221 -93.45234","35.972569 -93.453108",0.07976
"35.972231 -93.68138","35.972269 -93.68087",0.04606
"35.972559 -93.47846","35.972912 -93.479291",0.0844
"35.973159 -93.44865","35.973862 -93.450318",0.16913
"35.973218 -93.597089","35.973427 -93.597598",0.05133
"35.973631 -93.78045","35.97383 -93.779988",0.04707
"35.974178 -93.605419","35.97449 -93.605967",0.06026
"35.974382 -93.450688","35.975192 -93.450746",0.09016
"35.975621 -93.702349","35.976072 -93.702408",0.0504
"35.976517 -93.796918","35.9767 -93.796731",0.02639
"35.977499 -93.698379","35.977612 -93.697999",0.03641
"35.978631 -93.598537","35.979618 -93.598907",0.11462
"35.978947 -93.532512","35.979108 -93.531262",0.11382
"35.979441 -93.43865","35.979682 -93.438431",0.03324
"35.979629 -93.708958","35.979752 -93.709098",0.01858
"35.979902 -93.690129","35.980251 -93.690199",0.03929
"35.980621 -93.702591","35.982125 -93.702774",0.16794
"35.981619 -93.474292","35.98185 -93.4739",0.04361
"35.98185 -93.4739","35.982102 -93.473289",0.06167
"35.981913 -93.478836","35.98193 -93.478857",0.00267
"35.982118 -93.599701","35.982279 -93.599867",0.0233
"35.982125 -93.702774","35.98296 -93.702848",0.09303
"35.982279 -93.446971","35.983051 -93.446981",0.08579
"35.982418 -93.661231","35.98266 -93.661188",0.02717
"35.98252 -93.789532","35.982611 -93.789618",0.01273
"35.983201 -93.644767","35.983362 -93.643432",0.12137
"35.983298 -93.608821","35.984001 -93.608311",0.09059
"35.98384 -93.447099","35.984591 -93.44748",0.09021
"35.983888 -93.611288","35.985572 -93.609421",0.2514
"35.984789 -93.60778","35.985449 -93.60734",0.08333
"35.985841 -93.591027","35.986028 -93.590651",0.03968
"35.985867 -93.599771","35.987311 -93.599717",0.16054
"35.986157 -93.603515","35.986361 -93.606187",0.24133
"35.986168 -93.635321","35.986479 -93.635369",0.03483
"35.9865 -93.760317","35.986747 -93.76044",0.02959
"35.986537 -93.639646","35.98671 -93.639457",0.02566
"35.986849 -93.498721","35.987032 -93.499172",0.04537
"35.986989 -93.493437","35.987209 -93.49156",0.17054
"35.987042 -93.759647","35.987198 -93.759437",0.02563
"35.987112 -93.753778","35.987471 -93.753987",0.0441
"35.925899 -93.624597","35.926151 -93.625461",0.08264
"35.926489 -93.43533","35.926558 -93.435282",0.0088
"35.926902 -93.725368","35.927358 -93.726108",0.08368
"35.92709 -93.756557","35.927202 -93.75668",0.01666
"35.927358 -93.726108","35.927368 -93.726387",0.02513
"35.927428 -93.730689","35.927631 -93.730759",0.02342
"35.927512 -93.538672","35.927781 -93.538727",0.0303
"35.927942 -93.756707","35.928039 -93.756648",0.01202
"35.928012 -93.637788","35.928211 -93.637477",0.03567
"35.928398 -93.466342","35.928431 -93.466079",0.02395
"35.929418 -93.636447","35.929622 -93.63626",0.02823
"35.930019 -93.52344","35.930061 -93.524277",0.07546
"35.930308 -93.765987","35.930432 -93.766341",0.03471
"35.93056 -93.725207","35.930802 -93.725191",0.02693
"35.930861 -93.633449","35.930888 -93.633347",0.00966
"35.93158 -93.494338","35.93173 -93.494038",0.03173
